"Key","Event-Id","Investigation_Type","Event_Date","Country","Airport_Code","Injury_Severity","Aircraft_Damage","airport_id","airport","city","state","lat","long"
2371,"20170630X75650","Accident","2017-06-30","United States","EGE","Non-Fatal","Substantial","EGE","Eagle County Regional","Eagle","CO","39.64256778","-106.91769529999999"
2400,"20170624X52152","Accident","2017-06-24","United States","ECP","Non-Fatal","Substantial","ECP","Florida Beach","Beaches","FL","30.448674","-84.550781"
2407,"20170625X04604","Accident","2017-06-23","United States","ATL","Unavailable","Substantial","ATL","William B Hartsfield-Atlanta Intl","Atlanta","GA","33.64044444","-84.42694444"
2419,"20170620X05420","Accident","2017-06-19","United States","EUG","Non-Fatal","Substantial","EUG","Mahlon Sweet ","Eugene","OR","44.123259999999995","-123.21868559999999"
2495,"20170608X90705","Incident","2017-06-03","United States","IAD","Incident","Minor","IAD","Washington Dulles International","Chantilly","VA","38.94453194","-77.45580972"
2550,"20170524X92524","Accident","2017-05-24","United States","AGS","Non-Fatal","Substantial","AGS","Bush ","Augusta","GA","33.369955","-81.96449611"
2572,"20170520X21952","Accident","2017-05-19","United States","RDD","Non-Fatal","Substantial","RDD","Redding Municipal","Redding","CA","40.50898361","-122.2934019"
2617,"20170510X04511","Accident","2017-05-09","United States","MYR","Non-Fatal","Substantial","MYR","Myrtle Beach International","Myrtle Beach","SC","33.67975","-78.92833333"
2762,"20170405X64616","Accident","2017-04-05","United States","CDC","Non-Fatal","Substantial","CDC","Cedar City Muni","Cedar City","UT","37.70097028","-113.098575"
2783,"20170403X05402","Accident","2017-03-29","United States","FWA","Non-Fatal","Destroyed","FWA","Fort Wayne International","Fort Wayne","IN","40.97846583","-85.19514639"
2802,"20170328X23328","Accident","2017-03-24","United States","SLC","Non-Fatal","Substantial","SLC","Salt Lake City Intl","Salt Lake City","UT","40.78838778","-111.9777731"
2808,"20170323X32741","Accident","2017-03-22","United States","BZN","Non-Fatal","Substantial","BZN","Gallatin ","Bozeman","MT","45.77690139","-111.15300719999999"
2811,"20170321X21045","Accident","2017-03-21","United States","ISP","Non-Fatal","Substantial","ISP","Long Island - MacArthur","Islip","NY","40.7952425","-73.10021194"
2814,"20170320X00003","Accident","2017-03-20","United States","BOI","Non-Fatal","Substantial","BOI","Boise Air Terminal","Boise","ID","43.56444444","-116.22277779999999"
2820,"20170320X74630","Incident","2017-03-19","United States","DAY","Incident",NULL,"DAY","James M Cox Dayton Intl","Dayton","OH","39.90237583","-84.219375"
2824,"20170322X20012","Accident","2017-03-18","United States","COS","Non-Fatal","Substantial","COS","City of Colorado Springs Muni","Colorado Springs","CO","38.80580556","-104.70025"
2845,"20170311X85300","Accident","2017-03-11","United States","RNO","Non-Fatal","Substantial","RNO","Reno/Tahoe International","Reno","NV","39.49857611","-119.76806470000001"
2852,"20170313X72934","Accident","2017-03-10","United States","SMX","Non-Fatal","Substantial","SMX","Santa Maria Pub/Capt G Allan Hancock ","Santa Maria","CA","34.89924833","-120.4575825"
2865,"20170331X95128","Accident","2017-03-06","United States","LAX","Non-Fatal",NULL,"LAX","Los Angeles International","Los Angeles","CA","33.94253611","-118.40807439999999"
2871,"20170304X55438","Accident","2017-03-04","United States","SRQ","Fatal(2)","Destroyed","SRQ","Sarasota Bradenton International","Sarasota","FL","27.39533333","-82.55411111"
2894,"20170228X14333","Accident","2017-02-27","United States","BLI","Non-Fatal","Substantial","BLI","Bellingham Intl","Bellingham","WA","48.79275","-122.53752779999999"
2898,"20170301X00432","Accident","2017-02-26","United States","LAS","Non-Fatal","Substantial","LAS","McCarran International","Las Vegas","NV","36.08036111","-115.15233329999998"
2904,"20170226X53533","Accident","2017-02-25","United States","MLB","Non-Fatal","Substantial","MLB","Melbourne International ","Melbourne","FL","28.10275","-80.64580556"
2928,"20170222X75136","Accident","2017-02-20","United States","ABQ","Non-Fatal","Substantial","ABQ","Albuquerque International","Albuquerque","NM","35.04022222","-106.6091944"
2965,"20170224X03359","Accident","2017-02-11","United States","PHX","Non-Fatal",NULL,"PHX","Phoenix Sky Harbor International","Phoenix","AZ","33.43416667","-112.00805559999999"
3002,"20170128X12156","Accident","2017-01-28","United States","CRW","Non-Fatal","Substantial","CRW","Yeager","Charleston","WV","38.37315083","-81.59318972"
3010,"20170127X85009","Accident","2017-01-27","United States","PBI","Non-Fatal","Substantial","PBI","Palm Beach International","West Palm Beach","FL","26.68316194","-80.09559417"
3012,"20170131X31340","Accident","2017-01-26","United States","MAF","Non-Fatal","Substantial","MAF","Midland International","Midland","TX","31.94252778","-102.20191390000001"
3016,"20170131X24430","Incident","2017-01-26","United States","FSD","Incident","Minor","FSD","Joe Foss ","Sioux Falls","SD","43.58135111","-96.74170028"
3020,"20170126X12752","Accident","2017-01-24","United States","ICT","Non-Fatal","Substantial","ICT","Wichita Mid-Continent","Wichita","KS","37.64995889","-97.43304583"
3022,"20170123X71328","Accident","2017-01-23","United States","TUS","Fatal(2)","Destroyed","TUS","Tucson International","Tucson","AZ","32.11608333","-110.94102779999999"
3034,"20170119X81250","Accident","2017-01-19","United States","BIL","Non-Fatal","Substantial","BIL","Billings Logan Intl","Billings","MT","45.8076625","-108.54286110000001"
3036,"20170117X34946","Accident","2017-01-18","United States","CMI","Non-Fatal","Substantial","CMI","University of Illinois-Willard","Champaign/Urbana","IL","40.03925","-88.27805556"
3061,"20170113X00618","Accident","2017-01-11","United States","GRB","Non-Fatal","Substantial","GRB","Austin Straubel International","Green Bay","WI","44.48507333","-88.12959000000001"
3112,"20170103X05521","Accident","2016-12-23","United States","COD","Non-Fatal","Substantial","COD","Yellowstone Regional","Cody","WY","44.52019417","-109.02379609999998"
3130,"20161219X82155","Incident","2016-12-14","United States","SFO","Incident",NULL,"SFO","San Francisco International","San Francisco","CA","37.61900194","-122.3748433"
3131,"20161219X82155","Incident","2016-12-14","United States","SFO","Incident",NULL,"SFO","San Francisco International","San Francisco","CA","37.61900194","-122.3748433"
3159,"20161206X45332","Accident","2016-12-06","United States","SBA","Fatal(1)","Substantial","SBA","Santa Barbara Municipal","Santa Barbara","CA","34.42621194","-119.8403733"
3164,"20170322X15909","Accident","2016-12-05","United States","CRP","Non-Fatal","Substantial","CRP","Corpus Christi International","Corpus Christi","TX","27.77036083","-97.50121528"
3169,"20161205X55455","Incident","2016-12-04","United States","SAT","Incident","Minor","SAT","San Antonio International","San Antonio","TX","29.53369444","-98.46977778"
3173,"20161205X91704","Accident","2016-12-04","United States","GUC","Non-Fatal","Substantial","GUC","Gunnison County","Gunnison","CO","38.53396333","-106.9331817"
3196,"20161125X12648","Accident","2016-11-23","United States","CSG","Non-Fatal","Substantial","CSG","Columbus Metropolitan","Columbus","GA","32.51633333","-84.93886111"
3254,"20161115X33744","Accident","2016-11-08","United States","SRQ","Non-Fatal","Substantial","SRQ","Sarasota Bradenton International","Sarasota","FL","27.39533333","-82.55411111"
3287,"20161028X93712","Accident","2016-10-28","United States","FLL","Non-Fatal","Substantial","FLL","Fort Lauderdale-Hollywood Int'l","Ft. Lauderdale","FL","26.07258333","-80.15275"
3294,"20161027X20715","Incident","2016-10-27","United States","LGA","Incident","Minor","LGA","LaGuardia","New York","NY","40.77724306","-73.87260917"
3334,"20161024X95534","Accident","2016-10-19","United States","FAT","Non-Fatal","Substantial","FAT","Fresno Yosemite International","Fresno","CA","36.77619444","-119.7181389"
3383,"20161011X30638","Accident","2016-10-07","United States","SAT","Non-Fatal","Substantial","SAT","San Antonio International","San Antonio","TX","29.53369444","-98.46977778"
3399,"20161010X14758","Accident","2016-10-05","United States","BLI","Non-Fatal","Substantial","BLI","Bellingham Intl","Bellingham","WA","48.79275","-122.53752779999999"
3456,"20160927X51937","Accident","2016-09-24","United States","IAD","Non-Fatal","Substantial","IAD","Washington Dulles International","Chantilly","VA","38.94453194","-77.45580972"
3482,"20160929X93620","Incident","2016-09-19","United States","MIA","Incident","Minor","MIA","Miami International","Miami","FL","25.79325","-80.29055556"
3519,"20160915X30336","Accident","2016-09-14","United States","CDC","Non-Fatal","Substantial","CDC","Cedar City Muni","Cedar City","UT","37.70097028","-113.098575"
3527,"20160911X20520","Accident","2016-09-11","United States","RNO","Fatal(3)","Destroyed","RNO","Reno/Tahoe International","Reno","NV","39.49857611","-119.76806470000001"
